소예다방,,,,,
메뉴,재료,아이스,,핫,
,,일반,사이즈업,일반,사이즈업
아메리카노,물,150,300,300,
,원두,25,50,25,
,,,,,
시그니처 라떼,소스,75,,60,
,우유,190,,180,
,원두,25,,25,
,,,,,
다방 커피,소스,25,,20,
,우유,180,,200,
,원두,25,,25,
,설탕,25,,25,
,,,,,
헤이즐넛 라떼,소스,25,,20,
,우유,180,,200,
,원두,25,,25,
,헤이즐넛 시럽,35,,35,
,,,,,
 바닐라 라떼,소스,25,,20,
,우유,180,,200,
,원두,25,,25,
,바닐라 시럽,35,,35,
,,,,,
라떼,원두,25,,25,
,우유,220,,240,
,,,,,
아몬드 라떼,원두,25,,25,
,아몬드 우유,220,,240,
,,,,,
아몬드 모카 라떼,원두,25,,25,
,아몬드 우유,200,,200,
,초코 시럽,50,,50,
,,,,,
카페 모카,소스,25,,20,
,우유,180,,200,
,원두,25,,25,
,초코 시럽,50,,50,
,,,,,
카라멜 마끼야또,소스,25,,20,
,우유,180,,200,
,원두,25,,25,
,카라멜 시럽,50,,50,
,,,,,
카푸치노,우유,,,240,
,원두,,,25,
,,,,,
디카페인 아메리카노,물,200,,200,
,원액,80,,60,
,,,,,
초코라떼,우유,180,,200,
,소스,25,,20,
,초코시럽,50,,50,
,,,,,
딸기라떼,우유,200,,,
,소스,25,,,
,딸기청,80,,,
,,,,,
녹차라떼,우유,220,,220,
,소스,20,,20,
,녹차가루,45,,35,
,,,,,
곡물라떼,우유,220,,200,
,소스,25,,20,
,곡물가루,50,,50,
,꿀,20,,20,
,,,,,
패션후르츠 라떼,우유,220,,200,
,소스,25,,20,
,패션후르츠 청,80,,70,
,,,,,
오디라떼,우유,220,,200,
,소스,20,,20,
,오디 코디얼,60,,50,
,,,,,
진저라떼,우유,220,,200,
,소스,20,,20,
,생강 코디얼,60,,50,
,,,,,
호박라떼,우유,220,,200,
,소스,20,,20,
,호박 코디얼,50,,50,
,,,,,
고구마라떼,우유,220,,200,
,소스,20,,20,
,고구마 코디얼,50,,50,
,,,,,
패션후르츠 주스,물,190,,,
,패션후르츠 청,80,,,
,,,,,
패션후르츠 에이드, 탄산수,1,,,
,패션후르츠 청,80,,,
,,,,,
오렌지 주스,물,190,,,
,오렌지 청,30,,,
,오렌지 과육,70,,,
,,,,,
오렌지 에이드,탄산수,1,,,
,오렌지 청,30,,,
,오렌지 과육,70,,,
,,,,,
자몽 주스,물,190,,,
,자몽 청,30,,,
,자몽 과육,70,,,
,,,,,
자몽 에이드,탄산수,1,,,
,자몽 청,30,,,
,자몽 과육,70,,,
,,,,,
블루베리 주스,물,190,,,
,블루베리 청,40,,,
,블루베리 과육,60,,,
,,,,,
블루베리 에이드,탄산수,1,,,
,블루베리 청,40,,,
,블루베리 과육,60,,,
,,,,,
매실 주스,물,190,,,
,매실 청,100,,,
,,,,,
매실 에이드,탄산수,1,,,
,매실 청,100,,,
,,,,,
오미자 주스,물,190,,,
,오미자 청,80,,,
,,,,,
오미자 에이드,탄산수,1,,,
,오미자 청,80,,,
,,,,,
생강레몬차,생강레몬 코디얼,50,,50,
,대추 편,,,3,
,,,,,
생강차,생강 코디얼,50,,50,
,대추 편,,,3,
,,,,,
유자차,유자 코디얼,60,,60,
,대추 편,,,3,
,,,,,
오디차,오디 코디얼,50,,50,
,대추 편,,,3,
,,,,,
오미자차,오미자 청,,,50,
,대추 편,,,3,
,,,,,
매실차,매실 청,,,50,
,대추 편,,,3,
,,,,,
아이스티,수제 청 과육,40,,,
,아이스티,40,,,
,,,,,
밀크티,밀크티 베이스,100,210,100,
,소스,10,20,10,
,우유,200,400,180,
